"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","sale.date.d","gross.sqft","land.sqft"
"2943",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2376,25,NA,"B2","441 E. 154TH STREET"," ",10455,"2","                  -  ","2","1,250","3,000",2005,1,"B2"," $148,000 ","3/29/2016",148000,2016-03-29,3000,1250
"2944",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2389,55,NA,"B2","457 EAST 167 STREET"," ",10456,"2","                  -  ","2","2,448","2,706",1899,1,"B2"," $280,000 ","10/26/2016",280000,2016-10-26,2706,2448
"2946",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2607,114,NA,"S2","3322 3 AVENUE"," ",10456,"2","1","3","1,752","4,400",2006,1,"S2"," $2,969,240 ","8/1/2016",2969240,2016-08-01,4400,1752
"2949",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2611,31,NA,"B2","578 EAST 168 STREET"," ",10456,"2","                  -  ","2","3,931","2,400",1901,1,"B2"," $625,000 ","2/5/2016",625000,2016-02-05,2400,3931
"2950",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2611,33,NA,"B1","580 EAST 168TH STREET"," ",10456,"2","                  -  ","2","2,940","1,620",1901,1,"B1"," $520,000 ","2/17/2016",520000,2016-02-17,1620,2940
"2951",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2611,39,NA,"B3","1209 FRANKLIN AVENUE"," ",10456,"2","                  -  ","2","1,920","1,304",1901,1,"B3"," $450,000 ","3/15/2016",450000,2016-03-15,1304,1920
"2952",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2611,40,NA,"B2","1207 FRANKLIN AVENUE"," ",10456,"2","                  -  ","2","1,916","1,304",1901,1,"B2"," $275,000 ","3/2/2016",275000,2016-03-02,1304,1916
"2954",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2617,87,NA,"B2","635 EAGLE AVENUE"," ",10455,"2","                  -  ","2","1,701","2,112",1901,1,"B2"," $276,000 ","12/6/2016",276000,2016-12-06,2112,1701
"2955",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2623,123,NA,"B2","602 EAGLE AVENUE"," ",10455,"2","                  -  ","2","2,000","2,280",2001,1,"B2"," $495,000 ","9/14/2016",495000,2016-09-14,2280,2000
"2956",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2628,42,NA,"B3","658 EAST 156 STREET"," ",10455,"2","                  -  ","2","1,650","2,463",1901,1,"B3"," $525,000 ","12/6/2016",525000,2016-12-06,2463,1650
"2958",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2629,15,NA,"B1","782 CAULDWELL AVENUE"," ",10456,"2","                  -  ","2","2,043","1,882",1901,1,"B1"," $320,000 ","2/25/2016",320000,2016-02-25,1882,2043
"2960",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2629,16,NA,"B1","784 CAULDWELL AVENUE"," ",10456,"2","                  -  ","2","2,043","1,882",1901,1,"B1"," $300,000 ","2/25/2016",3e+05,2016-02-25,1882,2043
"2961",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2633,30,NA,"B2","1049 TRINITY AVENUE"," ",10456,"2","                  -  ","2","1,958","2,655",1901,1,"B2"," $190,000 ","4/7/2016",190000,2016-04-07,2655,1958
"2962",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2633,34,NA,"B2","1041 TRINITY AVENUE"," ",10456,"2","                  -  ","2","1,958","2,655",1901,1,"B2"," $250,000 ","9/2/2016",250000,2016-09-02,2655,1958
"2964",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2646,26,NA,"B2","773 FOREST AVENUE"," ",10456,"2","                  -  ","2","1,661","2,280",1910,1,"B2"," $260,000 ","2/18/2016",260000,2016-02-18,2280,1661
"2965",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2652,127,NA,"B1","1184 JACKSON AVENUE"," ",10456,"2","                  -  ","2","1,752","3,300",2005,1,"B1"," $390,000 ","9/21/2016",390000,2016-09-21,3300,1752
"2966",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2657,19,NA,"S2","776 EAST 161 STREET"," ",10456,"2","1","3","1,701","2,926",1920,1,"S2"," $600,000 ","12/2/2016",6e+05,2016-12-02,2926,1701
"2969",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2668,25,NA,"S2","788 EAST 163RD STREET"," ",10456,"2","1","3","1,508","2,160",1920,1,"S2"," $230,000 ","10/6/2016",230000,2016-10-06,2160,1508
"2970",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2669,13,NA,"B3","982 TINTON AVE"," ",10456,"2","                  -  ","2","2,025","1,800",1920,1,"B3"," $240,000 ","2/8/2016",240000,2016-02-08,1800,2025
"2971",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2669,70,NA,"B9","783 EAST 163RD STREET"," ",10456,"2","                  -  ","2","1,057","1,350",1920,1,"B9"," $200,000 ","4/11/2016",2e+05,2016-04-11,1350,1057
"2972",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2675,42,NA,"B1","722 UNION AVENUE"," ",10455,"2","                  -  ","2","1,738","2,442",1901,1,"B1"," $515,000 ","11/17/2016",515000,2016-11-17,2442,1738
"2973",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2675,44,NA,"B1","726 UNION AVENUE"," ",10455,"2","                  -  ","2","1,880","3,337",1901,1,"B1"," $540,000 ","6/30/2016",540000,2016-06-30,3337,1880
"2974",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2682,32,NA,"B9","830 EAST 169TH STREET"," ",10459,"2","                  -  ","2","2,027","2,952",1901,1,"B9"," $529,000 ","4/28/2016",529000,2016-04-28,2952,2027
"2975",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2683,117,NA,"B2","556 FOX STREET"," ",10455,"2","                  -  ","2","2,180","2,340",1990,1,"B2"," $535,000 ","1/5/2017",535000,2017-01-05,2340,2180
"2976",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2683,118,NA,"B2","558 FOX STREET"," ",10455,"2","                  -  ","2","3,052","2,340",1990,1,"B2"," $577,000 ","12/22/2016",577000,2016-12-22,2340,3052
"2977",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2684,142,NA,"B2","551 FOX STREET"," ",10455,"2","                  -  ","2","2,220","2,340",1990,1,"B2"," $538,000 ","1/24/2017",538000,2017-01-24,2340,2220
"2978",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2688,64,NA,"B1","787 HEWITT PLACE"," ",10455,"2","                  -  ","2","1,992","1,706",1992,1,"B1"," $307,242 ","4/21/2016",307242,2016-04-21,1706,1992
"2979",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2691,47,NA,"B2","1030 REV. JAMES A. POLITE"," ",10459,"2","                  -  ","2","2,602","3,602",1901,1,"B2"," $650,000 ","6/21/2016",650000,2016-06-21,3602,2602
"2980",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2691,57,NA,"B2","1050 REV JAMES POLITE AVE"," ",10459,"2","                  -  ","2","3,642","2,376",1901,1,"B2"," $500 ","8/18/2016",500,2016-08-18,2376,3642
"2983",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2700,13,NA,"B3","1042 HALL PLACE"," ",10459,"2","                  -  ","2","1,128","2,025",1901,1,"B3"," $285,000 ","6/15/2016",285000,2016-06-15,2025,1128
"2985",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2716,137,NA,"B2","912 EAST 167 STREET"," ",10459,"2","                  -  ","2","3,200","1,680",1993,1,"B2"," $485,000 ","7/26/2016",485000,2016-07-26,1680,3200
"2986",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2719,51,NA,"B2","918 HOME STREET"," ",10459,"2","                  -  ","2","1,692","1,840",1910,1,"B2"," $435,000 ","11/4/2016",435000,2016-11-04,1840,1692
"2988",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2748,66,NA,"B2","993 ALDUS STREET"," ",10459,"2","                  -  ","2","2,933","2,400",1995,1,"B2"," $1 ","5/11/2016",1,2016-05-11,2400,2933
"2989",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2749,119,NA,"B1","1044 HOE AVENUE"," ",10459,"2","                  -  ","2","2,028","2,700",1994,1,"B1"," $375,000 ","3/7/2016",375000,2016-03-07,2700,2028
"2990",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2752,124,NA,"B2","1174 HOE AVENUE"," ",10459,"2","                  -  ","2","2,000","2,160",1992,1,"B2"," $450,000 ","8/29/2016",450000,2016-08-29,2160,2000
"2991",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2752,137,NA,"B2","1165 VYSE AVENUE"," ",10459,"2","                  -  ","2","2,000","2,160",1992,1,"B2"," $465,000 ","5/13/2016",465000,2016-05-13,2160,2000
"2992",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2753,56,NA,"B2","1149 WEST FARMS ROAD"," ",10459,"2","                  -  ","2","1,843","2,100",1992,1,"B2"," $450,000 ","6/2/2016",450000,2016-06-02,2100,1843
"2993",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2931,55,NA,"B2","602 E 170 STREET"," ",10456,"2","                  -  ","2","2,356","2,106",1901,1,"B2"," $187,590 ","6/17/2016",187590,2016-06-17,2106,2356
"2994",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2931,72,NA,"B2","1371 FRANKLIN AVENUE"," ",10456,"2","                  -  ","2","6,240","4,500",1910,1,"B2"," $660,000 ","12/1/2016",660000,2016-12-01,4500,6240
"2995",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2933,3,NA,"B1","1310 FRANKLIN AVENUE"," ",10456,"2","                  -  ","2","3,000","4,499",1940,1,"B1"," $185,000 ","5/12/2016",185000,2016-05-12,4499,3000
"2997",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2961,7,NA,"S2","783 E 169TH"," ",10456,"2","1","3","2,454","3,898",1931,1,"S2"," $575,050 ","8/31/2016",575050,2016-08-31,3898,2454
"2998",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2963,42,NA,"B2","799 JENNINGS STREET"," ",10459,"2","                  -  ","2","2,500","1,080",1931,1,"B2"," $290,000 ","5/3/2016",290000,2016-05-03,1080,2500
"2999",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2964,5,NA,"B2","1378 BRISTOW STREET"," ",10459,"2","                  -  ","2","2,000","2,276",1901,1,"B2"," $600,000 ","7/12/2016",6e+05,2016-07-12,2276,2000
"3000",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2968,50,NA,"S2","1367 PROSPECT AVENUE"," ",10459,"2","1","3","1,887","2,306",1901,1,"S2"," $275,000 ","11/7/2016",275000,2016-11-07,2306,1887
"3002",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2970,15,NA,"B2","1346 PROSPECT AVENUE"," ",10459,"2","                  -  ","2","2,500","2,016",1931,1,"B2"," $323,000 ","11/1/2016",323000,2016-11-01,2016,2500
"3003",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2970,52,NA,"B2","1370 LYMAN PLACE"," ",10459,"2","                  -  ","2","3,978","1,050",1940,1,"B2"," $1 ","6/29/2016",1,2016-06-29,1050,3978
"3005",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2970,166,NA,"B1","1299 CHISHOLM STREET"," ",10459,"2","                  -  ","2","1,519","2,274",2008,1,"B1"," $316,650 ","3/9/2016",316650,2016-03-09,2274,1519
"3007",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2970,167,NA,"B1","1297 CHISHOLM STREET"," ",10459,"2","                  -  ","2","1,040","2,274",2008,1,"B1"," $316,650 ","3/9/2016",316650,2016-03-09,2274,1040
"3009",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2970,168,NA,"B1","1295 CHISHOLM STREET"," ",10459,"2","                  -  ","2","1,040","2,274",2008,1,"B1"," $316,650 ","3/9/2016",316650,2016-03-09,2274,1040
"3010",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2971,31,NA,"B2","1333 CHISHOLM STREET"," ",10459,"2","                  -  ","2","1,972","2,000",1901,1,"B2"," $437,750 ","9/13/2016",437750,2016-09-13,2000,1972
"3013",2,"MORRISANIA/LONGWOOD","02 TWO FAMILY DWELLINGS                    ","1",2972,102,NA,"B2","1344 CHISHOLM STREET"," ",10459,"2","                  -  ","2","1,250","1,240",1920,1,"B2"," $237,100 ","1/18/2017",237100,2017-01-18,1240,1250
"3017",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2384,56,NA,"C0","415 E 162ND ST"," ",10451,"3","                  -  ","3","2,500","2,544",1899,1,"C0"," $32,888 ","6/29/2016",32888,2016-06-29,2544,2500
"3019",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2617,55,NA,"C0","713 EAGLE AVENUE"," ",10455,"3","                  -  ","3","1,785","2,970",1901,1,"C0"," $585,000 ","2/5/2016",585000,2016-02-05,2970,1785
"3020",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2621,63,NA,"C0","598 EAST 164TH STREET"," ",10456,"3","                  -  ","3","1,875","3,375",2007,1,"C0"," $380,000 ","9/30/2016",380000,2016-09-30,3375,1875
"3022",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2646,8,NA,"C0","766 JACKSON AVE"," ",10456,"3","                  -  ","3","2,185","2,907",1910,1,"C0"," $200,000 ","6/23/2016",2e+05,2016-06-23,2907,2185
"3023",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2662,41,NA,"C0","761 HOME STREET"," ",10456,"3","                  -  ","3","2,400","3,550",1920,1,"C0"," $695,000 ","11/29/2016",695000,2016-11-29,3550,2400
"3024",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2662,42,NA,"C0","759 HOME STREET"," ",10456,"3","                  -  ","3","2,000","3,550",1920,1,"C0"," $545,000 ","2/16/2016",545000,2016-02-16,3550,2000
"3025",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2663,49,NA,"C0","1221 TINTON AVENUE"," ",10456,"3","                  -  ","3","2,237","3,129",1920,1,"C0"," $190,000 ","2/22/2016",190000,2016-02-22,3129,2237
"3026",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2668,47,NA,"C0","877 UNION AVENUE"," ",10459,"3","                  -  ","3","1,769","2,652",2004,1,"C0"," $380,000 ","9/28/2016",380000,2016-09-28,2652,1769
"3027",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2668,49,NA,"C0","873 UNION AVENUE"," ",10459,"3","                  -  ","3","1,769","2,652",2004,1,"C0"," $510,000 ","7/25/2016",510000,2016-07-25,2652,1769
"3028",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2669,20,NA,"C0","996 TINTON AVENUE"," ",10456,"3","                  -  ","3","1,992","2,241",2004,1,"C0"," $550,000 ","10/14/2016",550000,2016-10-14,2241,1992
"3029",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2673,13,NA,"C0","1226 TINTON AVENUE"," ",10456,"3","                  -  ","3","2,915","3,251",1910,1,"C0"," $10,000 ","6/16/2016",10000,2016-06-16,3251,2915
"3030",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2673,62,NA,"C0","1212 TINTON AVENUE"," ",10456,"3","                  -  ","3","1,942","3,555",1905,1,"C0"," $630,000 ","8/9/2016",630000,2016-08-09,3555,1942
"3032",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2675,13,NA,"C0","686 UNION AVENUE"," ",10455,"3","                  -  ","3","1,765","2,868",1901,1,"C0"," $560,000 ","4/7/2016",560000,2016-04-07,2868,1765
"3033",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2675,38,NA,"C0","710 UNION AVE"," ",10455,"3","                  -  ","3","1,931","3,000",1920,1,"C0"," $202,000 ","3/11/2016",202000,2016-03-11,3000,1931
"3035",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2678,33,NA,"C0","828 EAST 165 STREET"," ",10459,"3","                  -  ","3","1,975","2,532",1901,1,"C0"," $350,000 ","8/12/2016",350000,2016-08-12,2532,1975
"3036",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2682,48,NA,"C0","813 EAST 168 STREET"," ",10459,"3","                  -  ","3","2,527","3,090",1899,1,"C0"," $375,180 ","10/14/2016",375180,2016-10-14,3090,2527
"3037",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2691,108,NA,"C0","1039 HALL PLACE"," ",10459,"3","                  -  ","3","2,963","3,096",1910,1,"C0"," $227,950 ","7/18/2016",227950,2016-07-18,3096,2963
"3038",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2700,151,NA,"C0","1069 INTERVALE AVENUE"," ",10459,"3","                  -  ","3","1,468","3,312",2005,1,"C0"," $350,000 ","9/22/2016",350000,2016-09-22,3312,1468
"3039",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2704,27,NA,"C0","934 E. 165TH ST"," ",10459,"3","                  -  ","3","1,540","3,001",2005,1,"C0"," $270,000 ","3/30/2016",270000,2016-03-30,3001,1540
"3040",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2707,53,NA,"C0","770 BECK ST"," ",10455,"3","                  -  ","3","2,500","3,342",1901,1,"C0"," $10 ","2/11/2016",10,2016-02-11,3342,2500
"3042",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2708,52,NA,"C0","775 BECK STREET"," ",10455,"3","                  -  ","3","2,500","3,324",1901,1,"C0"," $690,000 ","10/4/2016",690000,2016-10-04,3324,2500
"3043",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2714,42,NA,"C0","983 FOX STREET"," ",10459,"3","                  -  ","3","2,178","3,024",1995,1,"C0"," $565,000 ","4/8/2016",565000,2016-04-08,3024,2178
"3046",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2724,12,NA,"C0","970 FOX STREET"," ",10459,"3","                  -  ","3","3,775","3,024",1995,1,"C0"," $407,000 ","3/23/2016",407000,2016-03-23,3024,3775
"3047",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2724,18,NA,"C0","986 FOX STREET"," ",10459,"3","                  -  ","3","2,260","3,024",1995,1,"C0"," $605,000 ","12/19/2016",605000,2016-12-19,3024,2260
"3048",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2724,218,NA,"C0","988 FOX STREET"," ",10459,"3","                  -  ","3","3,702","3,024",1995,1,"C0"," $620,000 ","9/9/2016",620000,2016-09-09,3024,3702
"3051",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2733,23,NA,"C0","927 BRUCKNER BLVD"," ",10459,"3","                  -  ","3","2,500","3,051",2005,1,"C0"," $440,000 ","9/30/2016",440000,2016-09-30,3051,2500
"3053",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2748,12,NA,"C0","1024 FAILE STREET"," ",10459,"3","                  -  ","3","2,000","3,330",1901,1,"C0"," $810,000 ","6/10/2016",810000,2016-06-10,3330,2000
"3054",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2748,22,NA,"C0","1044 FAILE STREET"," ",10459,"3","                  -  ","3","2,000","3,600",1910,1,"C0"," $323,000 ","9/30/2016",323000,2016-09-30,3600,2000
"3055",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2749,48,NA,"C0","1027 FAILE STREET"," ",10459,"3","                  -  ","3","2,000","2,880",1899,1,"C0"," $440,000 ","2/11/2016",440000,2016-02-11,2880,2000
"3056",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2754,43,NA,"C0","1151 LONGFELLOW AVENUE"," ",10459,"3","                  -  ","3","2,500","2,720",1920,1,"C0"," $345,000 ","5/31/2016",345000,2016-05-31,2720,2500
"3058",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2754,137,NA,"C0","1161 LONGFELLOW AVENUE"," ",10459,"3","                  -  ","3","1,992","3,148",2004,1,"C0"," $630,000 ","1/27/2017",630000,2017-01-27,3148,1992
"3060",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2933,56,NA,"C0","1321 CLINTON AVENUE"," ",10456,"3","                  -  ","3","3,243","3,682",2004,1,"C0"," $575,000 ","8/12/2016",575000,2016-08-12,3682,3243
"3061",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2934,35,NA,"C0","664 JEFFERSON PLACE"," ",10456,"3","                  -  ","3","1,442","2,112",1901,1,"C0"," $459,900 ","3/24/2016",459900,2016-03-24,2112,1442
"3062",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2935,46,NA,"C0","1397 CROTONA AVENUE"," ",10456,"3","                  -  ","3","3,451","2,856",1901,1,"C0"," $205,000 ","3/3/2016",205000,2016-03-03,2856,3451
"3063",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2961,144,NA,"C0","1287 UNION AVENUE"," ",10459,"3","                  -  ","3","2,692","3,564",2006,1,"C0"," $633,000 ","9/29/2016",633000,2016-09-29,3564,2692
"3065",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2968,103,NA,"C0","796 FREEMAN"," ",10459,"3","                  -  ","3","1,308","2,790",2005,1,"C0"," $445,000 ","10/6/2016",445000,2016-10-06,2790,1308
"3066",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2971,29,NA,"C0","1339 CHISHOLM STREET"," ",10459,"3","                  -  ","3","2,281","2,742",1901,1,"C0"," $380,000 ","7/18/2016",380000,2016-07-18,2742,2281
"3067",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2972,43,NA,"C0","1333 BRISTOW STREET"," ",10459,"3","                  -  ","3","3,000","2,832",1910,1,"C0"," $480,000 ","12/2/2016",480000,2016-12-02,2832,3000
"3068",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2974,8,NA,"C0","1232 INTERVALE AVENUE"," ",10459,"3","                  -  ","3","1,660","3,348",1920,1,"C0"," $266,600 ","9/27/2016",266600,2016-09-27,3348,1660
"3070",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2986,116,NA,"C0","1232 HOE AVENUE"," ",10459,"3","                  -  ","3","2,108","3,024",1999,1,"C0"," $592,000 ","11/16/2016",592000,2016-11-16,3024,2108
"3071",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2987,43,NA,"C0","1425 VYSE AVENUE"," ",10459,"3","                  -  ","3","2,500","3,375",1999,1,"C0"," $550,000 ","3/16/2016",550000,2016-03-16,3375,2500
"3072",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2994,13,NA,"C0","1428 VYSE AVENUE"," ",10459,"3","                  -  ","3","2,500","2,958",2007,1,"C0"," $10 ","9/16/2016",10,2016-09-16,2958,2500
"3073",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2994,31,NA,"C0","1437 BRYANT AVENUE"," ",10459,"3","                  -  ","3","2,500","1,454",1901,1,"C0"," $179,000 ","9/23/2016",179000,2016-09-23,1454,2500
"3074",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2994,44,NA,"C0","1411 BRYANT"," ",10459,"3","                  -  ","3","2,000","3,120",2006,1,"C0"," $438,048 ","8/18/2016",438048,2016-08-18,3120,2000
"3075",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2994,44,NA,"C0","1411 BRYANT AVENUE"," ",10459,"3","                  -  ","3","2,000","3,120",2006,1,"C0"," $946,591 ","4/25/2016",946591,2016-04-25,3120,2000
"3076",2,"MORRISANIA/LONGWOOD","03 THREE FAMILY DWELLINGS                  ","1",2994,62,NA,"C0","1445 BRYANT AVENUE"," ",10459,"3","                  -  ","3","2,000","3,120",1910,1,"C0"," $253,000 ","4/14/2016",253000,2016-04-14,3120,2000
"3261",2,"MOTT HAVEN/PORT MORRIS","01 ONE FAMILY DWELLINGS                    ","1",2280,14,NA,"A5","412 EAST 136 STREET"," ",10454,"1","                  -  ","1","2,000","2,356",1901,1,"A5"," $602,000 ","8/18/2016",602000,2016-08-18,2356,2000
"3262",2,"MOTT HAVEN/PORT MORRIS","01 ONE FAMILY DWELLINGS                    ","1",2280,14,NA,"A5","412 EAST 136 STREET"," ",10454,"1","                  -  ","1","2,000","2,356",1901,1,"A5"," $450,000 ","5/19/2016",450000,2016-05-19,2356,2000
"3265",2,"MOTT HAVEN/PORT MORRIS","01 ONE FAMILY DWELLINGS                    ","1",2286,29,NA,"A5","438 EAST 142ND STREET"," ",10454,"1","                  -  ","1","1,650","2,112",1910,1,"A5"," $588,000 ","1/30/2017",588000,2017-01-30,2112,1650
"3267",2,"MOTT HAVEN/PORT MORRIS","01 ONE FAMILY DWELLINGS                    ","1",2286,109,NA,"A5","419 EAST 141ST STREET"," ",10454,"1","                  -  ","1","1,667","2,376",1910,1,"A5"," $585,000 ","9/28/2016",585000,2016-09-28,2376,1667
"3268",2,"MOTT HAVEN/PORT MORRIS","01 ONE FAMILY DWELLINGS                    ","1",2286,109,NA,"A5","419 EAST 141ST STREET"," ",10454,"1","                  -  ","1","1,667","2,376",1910,1,"A5"," $425,000 ","6/10/2016",425000,2016-06-10,2376,1667
